Rank ,City ,State ,Land area,km2,Water area,km2.1,Total area,km2.2,Population
134,South Fulton,Georgia,85.2,221,1.0,2.6,86.3,224.0,107436
135,Edmond,Oklahoma,84.6,219,3.1,8.0,87.7,227.0,94428
136,Boise,Idaho,84.0,218,1.0,2.6,85.0,220.0,235684
137,Seattle,Washington,83.9,217,58.2,151.0,142.1,368.0,737015
138,Beaumont,Texas,82.5,214,2.8,7.3,85.2,221.0,115282
139,Springfield,Missouri,82.4,213,0.6,1.6,83.0,215.0,169176
140,Lawton,Oklahoma,81.5,211,0.0,0.0,81.5,211.0,90381
141,Riverside,California,81.2,210,0.3,0.78,81.5,211.0,314998
142,Baltimore ,Maryland,80.9,210,11.1,29.0,92.0,238.0,585708
143,Toledo,Ohio,80.5,208,3.3,8.5,83.8,217.0,270871
144,Jonesboro,Arkansas,80.2,208,0.6,1.6,80.7,209.0,78576
145,El Reno,Oklahoma,79.6,206,0.6,1.6,80.2,208.0,16989
146,Madison,Wisconsin,79.6,206,21.4,55.0,101.0,262.0,269840
147,Caribou,Maine,79.3,205,0.8,2.1,80.1,207.0,7396
148,Ellsworth,Maine,79.3,205,14.6,38.0,93.9,243.0,8399
149,Sioux Falls,South Dakota,79.1,205,0.5,1.3,79.6,206.0,192517
150,St. George,Utah,78.5,203,0.0,0.0,78.5,203.0,95342
